"1" "2" "3" "4" "5" "6" "7" "8" "9" "10" "11" "12" "13" "14" "15" "16" "17" "18" "19" "20"
"1" 481 502 525 527 488 472 537 482 533 496 505 512 493 514 511 490 487 499 491 513
"2" 525 519 488 524 512 500 528 519 532 504 482 499 512 486 515 498 488 497 502 485
"3" 501 479 488 490 505 499 521 510 503 515 487 488 504 525 504 512 499 515 484 485
"4" 487 464 496 506 479 512 504 493 487 510 499 520 484 470 525 494 491 496 473 474
"5" 495 495 526 483 490 536 529 487 516 504 498 481 523 472 537 485 525 504 512 489
"6" 490 494 498 505 495 526 487 497 503 502 504 520 488 532 510 489 512 517 531 496
"7" 516 511 485 499 495 503 501 482 503 502 486 491 523 484 493 520 466 480 534 492
"8" 478 472 532 511 527 477 488 501 467 499 503 472 508 476 509 485 524 517 518 508
"9" 511 482 494 476 489 476 500 504 496 495 507 498 504 478 487 494 500 522 516 476
"10" 513 520 493 509 494 515 481 499 507 472 492 525 495 503 461 483 502 512 491 504
"11" 484 506 514 521 518 498 478 490 504 466 491 528 503 492 510 484 499 516 486 503
"12" 542 506 511 491 497 487 471 512 493 469 496 516 511 522 517 511 482 496 523 527
"13" 468 489 503 483 496 489 494 499 486 512 486 495 513 497 457 519 511 515 520 507
"14" 499 494 507 502 493 519 504 520 484 478 498 501 512 489 496 499 498 515 476 505
"15" 498 517 502 487 484 510 503 515 505 512 522 487 462 486 510 522 500 485 510 498
"16" 494 509 512 498 484 505 487 510 489 503 503 493 476 500 501 485 512 521 520 481
"17" 486 485 478 537 505 482 527 482 471 488 531 515 509 519 491 468 475 516 518 510
"18" 507 484 508 500 517 524 477 494 471 486 520 481 519 523 473 477 490 508 514 504
"19" 501 509 509 514 484 502 489 481 533 523 465 496 499 538 479 478 486 513 506 492
"20" 502 476 496 473 504 498 508 515 492 487 515 504 482 504 507 480 494 506 513 503
"21" 493 491 496 531 484 502 492 489 492 513 505 504 518 514 503 513 518 481 520 481
"22" 506 501 474 510 480 517 495 478 508 472 496 486 494 499 510 515 510 489 497 493
"23" 507 480 521 486 486 485 496 505 476 508 516 489 484 533 499 494 500 524 502 490
"24" 483 508 491 511 527 503 483 497 517 491 485 481 504 511 506 481 489 480 511 482
"25" 482 485 457 520 492 511 475 479 503 500 490 490 514 471 509 502 515 503 487 496
"26" 515 490 488 480 481 477 504 500 492 501 482 504 512 487 477 519 504 510 511 503
"27" 473 499 513 500 530 481 465 510 493 485 509 509 538 503 492 475 490 504 483 489
"28" 488 522 493 512 470 505 529 524 507 513 494 502 511 496 494 490 493 495 512 482
"29" 504 505 494 493 485 495 497 496 495 511 489 496 523 499 463 511 503 502 502 493
"30" 502 489 494 503 513 480 486 485 477 495 506 484 481 495 512 487 506 471 485 499
"31" 515 484 502 505 505 505 511 511 489 481 476 479 502 523 488 491 505 489 508 537
"32" 488 487 488 513 502 513 500 507 483 515 488 526 487 505 489 500 497 484 506 495
"33" 490 493 498 485 499 493 506 507 502 511 494 509 508 507 487 488 491 522 509 503
"34" 492 507 498 498 502 502 510 515 488 515 513 489 523 483 489 470 497 495 517 504
"35" 505 502 521 519 506 499 513 506 512 496 508 497 503 500 499 481 508 490 474 488
"36" 467 507 491 495 484 481 501 479 481 513 517 493 476 512 503 509 491 531 509 489
"37" 500 493 497 515 510 485 543 480 507 490 500 506 491 510 492 501 492 525 483 492
"38" 493 502 524 506 509 490 500 489 500 488 513 484 505 503 498 515 501 500 500 503
"39" 474 496 454 508 499 511 478 519 528 485 497 513 521 512 515 512 502 500 487 479
"40" 513 489 524 518 504 486 510 514 511 479 517 518 499 525 510 481 488 514 527 495
"41" 494 487 496 492 499 494 520 506 482 521 501 477 522 499 514 511 551 520 509 513
"42" 503 492 520 515 481 521 500 516 487 481 518 511 526 488 498 495 491 476 491 539
"43" 516 526 493 494 490 526 502 525 476 511 489 511 498 527 461 511 507 506 493 493
"44" 515 488 493 495 527 496 497 497 469 509 510 533 504 530 483 474 517 482 497 498
"45" 462 517 473 518 510 486 479 511 505 526 492 455 503 491 495 533 492 506 492 485
"46" 500 487 495 530 512 489 497 516 503 494 488 483 498 499 497 543 499 506 506 489
"47" 517 522 493 504 489 488 481 510 505 528 520 508 480 476 492 490 489 497 504 487
"48" 524 520 507 496 514 485 469 492 497 495 508 506 504 535 461 492 479 491 475 507
"49" 477 477 509 476 488 519 501 511 493 496 498 507 498 497 516 511 504 507 484 497
"50" 505 523 511 502 496 494 515 522 502 513 516 518 532 496 504 517 502 491 502 481
"51" 531 518 497 504 505 478 496 479 500 481 494 525 511 491 515 477 500 500 489 488
"52" 509 511 517 511 516 474 502 503 506 509 505 534 506 487 508 500 514 514 476 503
"53" 482 524 505 509 526 519 499 484 494 515 522 490 506 499 482 485 523 484 515 509
"54" 505 520 478 481 529 544 484 483 496 494 516 488 486 484 479 516 490 504 494 502
"55" 504 471 508 484 515 495 516 518 488 522 506 511 511 509 500 482 484 469 495 499
"56" 541 507 487 512 529 526 499 471 481 500 468 501 488 496 496 514 509 465 480 517
"57" 514 500 525 515 497 495 506 497 505 504 499 510 497 509 490 503 501 486 496 493
"58" 496 496 486 484 492 508 514 505 518 477 521 481 519 477 525 501 504 477 491 494
"59" 502 497 490 515 486 514 495 489 505 488 515 494 518 506 481 515 493 492 517 467
"60" 477 484 490 526 509 496 503 513 503 510 523 506 484 468 500 497 548 475 489 481
"61" 505 481 517 514 515 472 497 516 516 524 495 488 502 498 481 501 479 486 498 486
"62" 517 497 500 493 511 502 528 528 517 500 498 487 486 479 516 510 486 488 518 502
"63" 501 485 484 491 486 509 501 498 481 508 508 510 480 494 504 499 506 516 487 489
"64" 523 487 494 519 477 449 450 495 510 492 524 490 494 507 491 463 499 516 459 527
"65" 506 466 486 488 499 495 537 505 469 512 487 509 486 499 508 502 512 512 508 511
"66" 495 496 516 497 477 507 484 510 501 489 485 514 497 480 485 461 486 523 511 519
