"1" "2" "3" "4" "5" "6" "7" "8" "9" "10" "11" "12" "13" "14" "15" "16" "17" "18" "19" "20"
"1" 505 505 495 483 504 527 505 500 526 516 495 522 507 500 465 460 500 500 470 488
"2" 514 500 490 529 479 499 525 509 504 487 501 497 515 513 509 502 515 504 491 507
"3" 495 484 497 485 502 480 519 505 485 518 486 500 492 492 498 524 486 504 520 489
"4" 467 525 505 509 498 527 505 497 478 491 515 504 508 483 524 515 497 522 502 506
"5" 495 501 523 489 485 488 500 521 501 484 494 508 516 512 482 497 492 491 507 482
"6" 501 497 520 483 500 484 474 474 496 503 503 512 520 509 502 496 482 475 508 481
"7" 510 478 509 511 514 494 502 485 500 485 500 493 502 494 479 518 492 497 492 509
"8" 482 504 511 500 492 486 466 523 496 504 493 496 490 495 501 503 501 491 516 500
"9" 504 515 531 506 502 501 516 468 485 509 487 515 494 505 529 534 486 514 516 481
"10" 497 475 516 493 467 493 509 487 486 481 477 498 507 515 493 522 487 506 493 522
"11" 504 502 493 503 504 494 515 501 516 504 476 503 490 517 489 499 487 524 476 509
"12" 517 508 550 487 515 502 489 519 495 510 481 511 497 513 500 511 537 482 507 501
"13" 472 500 499 504 498 515 513 483 509 491 501 519 485 496 484 498 501 491 495 492
"14" 496 486 491 506 525 474 522 505 507 501 529 511 522 508 502 516 499 485 509 518
"15" 475 463 507 526 488 491 511 477 469 487 502 517 490 480 524 489 492 489 485 477
"16" 497 478 505 492 509 522 518 507 496 483 502 489 492 511 513 490 493 488 498 517
"17" 509 469 465 512 500 515 491 498 523 517 489 511 495 496 497 461 510 499 492 527
"18" 510 509 485 539 513 511 502 475 501 513 515 502 527 532 481 486 514 508 498 489
"19" 507 517 496 522 507 512 491 534 539 505 504 467 506 506 485 478 493 533 479 525
"20" 498 498 540 516 502 511 473 500 486 519 506 480 480 505 488 500 496 491 468 509
"21" 471 498 487 484 502 482 485 475 518 490 513 513 474 505 501 508 518 488 506 481
"22" 474 500 521 512 498 515 487 492 513 493 491 506 494 496 485 533 512 536 529 483
"23" 513 488 479 499 482 520 471 527 522 533 490 528 510 474 484 513 502 500 487 500
"24" 484 473 503 506 513 517 501 522 501 493 480 524 472 485 493 511 501 521 509 473
"25" 488 499 513 511 489 503 503 506 479 477 509 488 495 502 476 473 488 508 499 500
"26" 470 484 493 455 472 493 521 490 480 511 513 497 505 496 492 482 495 498 532 510
"27" 502 510 501 495 507 521 495 503 508 531 490 501 485 487 497 495 527 515 502 489
"28" 507 514 491 539 505 504 515 505 481 503 495 498 487 487 482 501 515 504 509 517
"29" 472 497 510 506 507 506 498 493 491 516 530 499 492 532 512 520 487 525 487 479
"30" 500 481 514 522 507 494 481 504 511 499 486 501 484 482 514 483 491 517 523 507
"31" 520 515 533 503 493 492 496 489 499 496 502 485 515 495 481 503 480 480 505 488
"32" 517 504 532 466 529 498 512 506 524 465 493 495 517 505 523 530 501 481 515 502
"33" 480 503 502 464 499 522 502 509 478 512 499 521 505 482 515 493 507 499 499 516
"34" 482 507 491 496 488 481 485 514 530 516 514 461 508 502 483 520 515 484 485 501
"35" 520 508 485 495 496 491 523 491 477 494 502 477 493 486 481 511 518 475 522 505
"36" 500 524 525 486 481 502 487 497 502 516 503 515 528 519 502 493 486 490 487 479
"37" 477 523 517 489 520 519 490 511 511 505 509 516 489 498 457 510 511 502 527 526
"38" 481 515 484 517 509 522 476 481 503 495 498 491 504 524 517 499 520 524 515 477
"39" 488 520 525 503 490 513 499 507 526 498 494 496 493 532 509 472 528 490 531 518
"40" 492 484 476 503 523 498 499 496 485 482 514 500 506 535 495 524 507 460 500 475
"41" 486 508 492 508 501 500 495 505 520 506 523 522 500 481 512 480 510 458 495 512
"42" 531 515 499 494 520 491 525 488 500 501 510 535 516 524 502 505 510 481 506 517
"43" 501 482 473 497 481 490 489 505 518 518 468 474 498 485 481 503 508 478 495 514
"44" 485 503 489 510 506 512 497 509 503 490 518 508 505 511 527 495 497 528 491 472
"45" 506 491 513 527 509 500 500 479 511 465 555 510 500 525 516 488 515 493 512 509
"46" 506 509 497 516 492 514 513 525 519 503 515 490 485 489 489 506 499 469 475 512
"47" 484 512 491 510 498 483 496 487 487 522 513 500 490 497 503 497 503 515 507 543
"48" 495 515 490 475 479 513 480 520 474 520 505 507 496 508 488 514 508 521 498 496
