"1" "2" "3" "4" "5" "6" "7" "8" "9" "10" "11" "12" "13" "14" "15" "16" "17" "18" "19" "20"
"1" 514 511 505 507 499 491 525 493 501 484 494 508 474 484 517 498 513 503 506 500
"2" 522 497 488 508 498 494 495 508 499 529 501 513 503 491 504 505 509 497 511 475
"3" 506 508 502 491 501 487 494 483 505 467 524 504 499 511 512 480 484 554 523 494
"4" 495 520 505 498 484 484 522 509 498 512 497 507 528 490 490 521 530 496 474 509
"5" 497 491 517 483 546 505 508 481 501 503 506 504 493 486 523 530 497 466 512 503
"6" 529 488 501 496 487 491 515 506 483 511 517 510 471 484 491 494 507 536 508 517
"7" 486 512 519 495 481 477 510 526 514 523 546 538 506 524 489 489 500 497 501 486
"8" 498 512 507 498 504 499 492 491 498 509 502 490 512 500 496 497 480 470 506 494
"9" 491 478 499 515 523 504 488 507 465 495 478 521 471 497 515 508 506 512 487 523
"10" 467 502 516 505 508 485 493 491 503 494 509 507 510 487 494 526 496 514 517 500
"11" 495 469 500 506 513 519 521 489 485 511 498 511 484 492 507 494 500 498 526 510
"12" 514 500 495 516 511 502 525 492 481 480 491 497 529 470 513 498 505 519 466 518
"13" 520 495 532 495 489 489 492 498 491 522 498 496 505 498 504 515 488 491 510 494
"14" 513 514 522 497 502 471 511 479 494 482 505 490 517 483 511 478 493 508 502 502
"15" 504 477 502 487 476 487 510 518 503 496 474 517 491 495 511 515 505 476 477 498
"16" 527 497 504 499 502 514 489 502 513 508 497 486 524 492 504 512 512 491 478 516
"17" 486 490 513 499 511 511 496 500 506 533 483 524 499 507 517 489 503 488 525 527
"18" 491 516 472 503 510 501 510 527 498 482 548 502 491 509 501 484 494 506 502 508
"19" 512 456 495 515 505 513 504 503 485 484 474 481 501 478 507 520 491 462 470 529
"20" 502 463 481 507 508 508 484 504 494 523 519 508 494 479 500 520 511 505 503 504
"21" 514 509 522 500 490 509 496 499 490 495 491 504 512 489 529 507 518 491 524 508
"22" 534 496 500 514 502 495 506 505 483 520 495 522 490 509 489 492 492 503 495 518
"23" 478 517 516 498 501 498 497 512 522 497 481 511 483 495 480 498 475 482 517 494
"24" 510 462 512 488 481 470 492 511 492 507 471 490 492 522 477 493 494 483 480 520
"25" 496 502 507 491 491 488 492 515 505 528 490 491 487 477 477 486 492 472 517 507
"26" 497 504 514 502 509 500 506 503 498 498 489 498 504 506 486 500 481 521 515 482
"27" 525 467 501 512 486 483 504 516 509 499 522 499 498 515 505 515 508 490 489 489
"28" 524 511 494 533 475 503 486 494 502 490 502 507 493 468 487 458 486 495 513 488
"29" 518 477 508 505 507 482 479 497 471 490 515 510 507 520 518 503 511 496 505 475
"30" 485 477 516 503 494 467 497 495 490 503 502 519 516 482 504 498 509 508 503 483
"31" 480 512 495 499 471 493 474 517 500 506 485 499 530 509 452 514 510 500 494 496
"32" 506 519 483 498 510 500 517 504 511 487 514 485 498 513 519 498 513 486 501 489
"33" 478 464 494 495 479 500 540 500 498 522 485 507 488 528 498 516 506 522 507 492
"34" 473 504 479 484 507 490 498 505 492 498 530 497 495 496 515 494 524 483 516 477
"35" 505 527 499 514 504 527 493 486 507 502 518 516 510 522 497 482 518 501 482 491
"36" 531 501 471 524 470 505 512 521 491 489 525 522 504 508 517 519 500 499 482 470
"37" 518 498 523 503 516 505 497 501 487 505 525 522 506 479 502 522 487 487 501 473
"38" 502 502 494 496 483 480 492 522 481 508 471 486 507 493 513 470 507 505 527 488
"39" 474 499 476 496 516 493 509 513 499 501 517 510 489 488 493 510 486 493 493 496
"40" 476 515 473 468 504 531 485 495 477 509 531 520 510 474 473 501 520 486 505 507
"41" 481 496 523 527 503 538 532 494 499 503 506 506 514 505 528 506 509 484 490 488
"42" 478 506 494 489 494 488 537 533 516 509 498 502 502 481 488 503 518 484 483 515
"43" 515 467 512 498 505 503 481 494 517 493 495 499 492 476 491 494 504 500 489 530
"44" 524 484 500 495 528 511 515 505 488 501 452 513 494 485 511 522 479 540 485 520
"45" 504 510 506 507 508 494 502 505 499 504 496 515 523 501 504 489 483 490 510 471
"46" 522 508 505 489 507 515 488 527 525 493 508 498 461 529 498 513 512 522 526 497
"47" 513 454 514 515 509 469 480 494 468 486 495 509 500 503 475 491 487 523 506 510
"48" 508 521 522 484 463 501 494 503 508 493 519 514 515 489 508 523 504 494 482 482
"49" 503 482 508 467 463 481 507 479 483 498 495 502 472 506 499 499 503 473 515 502
"50" 498 482 510 520 506 497 494 465 488 491 519 495 479 502 497 489 483 527 481 508
"51" 497 488 492 490 476 534 498 509 521 486 482 507 482 511 481 510 485 481 501 506
"52" 501 526 486 502 490 484 510 521 501 527 477 475 485 512 483 520 528 499 516 522
"53" 509 512 498 510 495 499 510 497 515 513 489 521 501 493 521 506 513 506 486 501
"54" 490 481 478 499 475 474 495 500 486 519 493 498 485 504 500 494 516 514 511 495
"55" 483 515 523 506 478 479 473 477 509 490 518 489 487 507 495 516 518 491 470 502
"56" 465 492 499 461 478 476 473 547 495 511 502 524 512 518 504 502 495 496 505 493
"57" 504 493 503 497 506 484 513 464 510 505 497 478 514 488 499 512 495 505 498 517
"58" 499 488 514 516 475 511 468 513 483 513 491 494 515 507 480 438 475 469 525 477
"59" 518 500 489 497 488 482 506 503 511 489 497 521 459 514 493 496 515 508 513 504
"60" 493 510 510 515 476 506 516 511 529 503 490 494 491 491 516 495 505 528 512 518
"61" 498 520 481 487 487 487 498 461 498 512 487 486 513 481 500 492 519 512 492 513
"62" 473 480 499 531 524 488 502 515 495 496 503 511 523 520 491 505 512 512 500 510
"63" 512 518 478 489 483 490 498 496 523 480 532 475 507 483 495 488 483 503 481 497
"64" 486 479 506 527 510 499 483 513 460 486 494 495 482 499 506 496 498 516 495 500
"65" 508 507 486 506 487 498 509 497 498 514 531 500 500 486 484 506 496 507 526 503
"66" 500 508 523 470 488 505 514 458 483 496 497 516 529 469 490 507 501 464 518 510
"67" 475 510 509 479 501 521 508 487 496 469 480 491 497 506 516 490 509 476 503 508
"68" 513 494 498 492 504 460 502 502 502 486 514 497 481 489 480 512 492 498 482 485
"69" 494 498 517 502 510 507 512 485 521 476 508 494 506 487 474 476 488 529 504 491
"70" 490 501 527 491 500 517 489 489 511 485 519 485 474 511 514 514 484 483 519 491
"71" 499 497 502 495 493 528 509 512 491 504 518 494 506 529 490 493 490 476 491 522
"72" 514 520 500 525 488 522 509 537 507 505 490 502 495 477 506 514 477 491 476 481
"73" 518 496 493 503 486 490 499 518 502 468 495 493 508 479 506 515 514 496 483 513
"74" 503 504 513 529 498 480 525 506 490 514 504 462 498 491 536 503 491 509 481 486
"75" 495 481 507 496 496 516 498 493 502 486 463 492 495 534 480 480 516 514 503 484
"76" 505 499 493 481 496 460 488 493 486 514 470 514 524 482 515 481 506 473 506 506
"77" 506 509 470 496 511 493 466 512 499 481 493 508 509 457 518 488 497 526 498 512
"78" 509 471 516 489 490 505 510 512 509 470 506 498 520 507 494 509 510 515 505 527
"79" 495 495 450 478 485 520 500 509 498 483 491 506 507 506 506 491 494 505 503 499
"80" 494 510 518 492 479 511 475 491 500 494 483 472 534 517 503 502 501 492 511 477
"81" 489 498 502 505 512 499 513 528 505 498 488 510 513 519 490 507 476 479 468 510
"82" 528 494 478 503 538 478 491 509 485 494 512 493 492 505 514 525 478 500 512 528
"83" 478 498 516 512 517 502 480 509 493 520 523 489 500 512 531 511 477 494 512 486
"84" 517 504 528 506 479 501 496 516 503 498 523 499 517 506 475 487 510 510 511 495
"85" 499 513 488 503 503 535 495 491 503 531 531 491 508 521 509 489 501 509 500 474
"86" 498 491 511 486 508 479 489 492 504 479 530 489 505 493 505 523 510 513 499 517
"87" 502 480 505 497 512 495 511 508 503 514 520 485 482 493 489 484 504 494 503 477
"88" 511 488 505 492 512 501 496 473 497 455 496 476 488 513 496 498 508 503 491 516
"89" 479 530 498 500 507 498 486 511 488 489 517 471 510 485 528 496 506 499 488 496
"90" 505 486 504 518 467 504 527 506 503 490 502 483 503 457 482 492 494 489 470 505
"91" 483 497 530 492 502 504 481 500 498 485 487 519 530 489 479 485 490 483 496 506
"92" 487 501 489 506 485 507 517 510 454 479 507 489 489 494 511 505 497 501 518 524
"93" 520 489 525 488 521 488 484 509 495 518 491 507 525 515 514 497 530 523 493 480
"94" 496 512 504 515 457 486 502 526 470 483 508 489 510 518 523 474 487 535 515 502
"95" 481 507 515 507 475 510 483 514 484 476 510 483 515 492 521 493 511 522 516 488
"96" 505 489 515 516 472 513 508 507 489 490 498 530 524 496 468 514 538 503 502 488
"97" 500 498 497 525 491 498 493 500 526 504 510 477 489 518 509 504 465 494 490 508
"98" 503 503 500 515 508 476 491 502 521 519 497 501 487 510 504 495 512 483 515 502
"99" 497 490 492 475 465 502 497 532 516 500 496 517 488 507 505 460 484 514 491 510
"100" 489 502 494 491 509 495 498 515 518 517 503 481 499 502 498 510 497 469 486 497
"101" 490 506 504 480 510 493 499 519 546 490 498 477 506 515 489 520 506 466 500 508
"102" 492 490 489 477 497 467 476 504 482 505 499 511 481 497 492 490 513 511 489 481
"103" 533 513 508 488 498 505 492 509 476 474 475 476 488 507 503 504 498 500 551 491
"104" 523 492 500 493 496 489 504 504 481 521 507 501 502 491 475 506 522 516 505 498
"105" 466 501 506 518 517 472 507 492 498 513 486 504 479 484 506 458 527 483 491 514
"106" 495 501 508 489 497 475 464 501 510 518 490 517 488 491 524 516 507 496 487 497
"107" 499 534 529 499 482 501 530 503 502 514 502 496 504 483 498 505 518 468 490 490
