"1" "2" "3" "4" "5" "6" "7" "8" "9" "10" "11" "12" "13" "14" "15" "16" "17" "18" "19" "20"
"1" 502 505 512 501 512 493 494 500 501 502 502 499 513 491 479 502 494 496 503 485
"2" 502 502 497 504 490 507 502 501 497 499 499 488 483 498 494 499 496 480 494 510
"3" 480 494 509 498 489 486 504 494 500 525 495 504 493 502 501 501 494 489 507 505
"4" 497 506 491 501 502 508 492 491 514 518 494 511 508 488 504 512 500 515 500 497
"5" 518 505 508 502 494 498 501 508 509 502 505 506 503 499 506 508 504 498 500 494
"6" 495 497 482 494 511 499 509 509 488 488 496 514 495 505 492 505 499 500 499 492
"7" 501 496 507 492 511 500 507 489 491 505 505 511 505 495 498 501 513 496 504 502
"8" 492 508 500 493 495 493 507 496 503 493 511 528 503 479 497 513 497 505 515 510
"9" 499 507 497 503 489 507 513 494 511 503 503 494 505 505 498 512 497 504 500 495
"10" 512 504 499 492 505 508 503 499 524 507 483 522 508 484 507 500 479 487 503 505
"11" 486 505 506 506 496 502 491 515 519 508 499 526 499 488 481 500 484 516 500 504
"12" 501 503 499 505 508 498 500 513 515 498 497 504 513 500 495 505 493 511 498 498
"13" 499 480 507 497 507 509 506 498 523 516 494 511 499 514 513 496 501 501 501 494
"14" 498 511 499 484 494 512 502 509 510 502 515 519 502 487 499 500 497 488 505 493
"15" 504 503 485 512 509 511 501 501 509 489 496 513 495 489 500 502 497 503 512 505
"16" 496 511 485 500 506 480 504 495 521 511 492 512 493 498 491 506 501 517 497 489
"17" 499 503 500 496 494 499 500 499 488 497 504 493 498 489 486 498 510 496 498 502
"18" 503 505 487 494 494 497 505 510 504 499 510 507 497 508 494 503 499 494 502 509
"19" 507 498 496 508 502 500 489 510 518 520 495 515 505 482 500 513 490 498 506 486
"20" 494 513 501 495 490 504 505 508 505 505 485 482 495 484 486 501 498 498 495 498
"21" 500 504 500 506 500 505 500 494 505 495 508 496 516 490 499 497 497 498 504 505
"22" 492 502 514 510 509 503 507 509 491 504 518 519 513 496 501 521 489 488 506 502
"23" 499 505 498 500 493 499 508 499 505 515 498 484 515 504 495 510 503 504 495 506
"24" 507 496 500 491 491 502 506 501 485 497 514 493 510 481 480 507 496 506 500 493
"25" 506 514 508 482 484 491 486 504 497 496 494 491 511 492 495 502 505 504 490 503
"26" 501 510 501 501 501 502 505 514 502 520 498 493 503 501 489 516 508 501 498 491
"27" 505 494 487 499 506 494 498 502 484 514 494 501 494 493 502 515 491 502 508 504
"28" 497 511 495 501 502 500 503 490 494 523 492 502 511 511 492 511 509 499 501 506
"29" 501 501 501 504 505 501 497 516 510 508 501 526 501 494 489 506 491 512 486 511
"30" 491 497 497 496 491 500 486 497 525 505 508 496 514 484 499 506 490 498 510 498
"31" 497 500 512 500 501 489 507 507 514 501 505 485 507 507 493 504 496 485 493 498
"32" 509 496 495 500 496 505 498 510 506 514 507 502 505 495 497 498 485 497 496 512
"33" 494 503 513 499 501 500 504 499 530 506 493 489 509 492 499 509 500 504 511 506
"34" 492 488 507 494 493 511 505 494 493 514 490 489 505 501 502 497 498 493 499 496
"35" 491 519 491 499 497 498 497 502 498 504 510 515 497 499 485 505 510 489 487 487
"36" 492 489 485 487 494 497 499 500 507 507 511 511 492 494 490 496 504 503 502 508
"37" 497 496 502 508 497 506 494 515 501 506 494 490 493 495 493 501 511 497 510 504
"38" 494 504 491 499 503 500 492 496 505 506 495 502 502 486 501 506 489 501 490 490
"39" 513 514 500 501 506 490 502 493 505 495 516 510 511 500 495 501 492 507 510 503
"40" 503 504 503 499 494 516 512 495 522 487 497 493 497 488 491 515 494 519 487 505
"41" 502 510 508 496 500 504 506 492 509 509 498 511 496 508 490 508 489 497 481 501
"42" 499 499 484 487 501 483 498 509 487 495 503 508 501 498 499 508 490 500 500 490
"43" 507 509 488 508 494 478 500 485 504 501 493 508 507 496 505 501 490 523 503 498
"44" 497 499 495 496 504 486 501 502 497 518 491 491 482 484 497 497 507 512 498 504
"45" 496 509 489 493 494 509 512 510 508 507 500 515 493 491 490 493 493 501 511 519
"46" 500 503 501 506 517 492 508 504 521 489 500 491 507 488 502 494 492 510 496 496
"47" 499 513 489 488 499 504 502 509 503 505 509 520 501 504 497 511 501 490 506 491
"48" 506 497 504 494 500 507 509 506 513 499 495 497 509 504 500 492 501 495 511 490
"49" 485 512 498 506 487 485 500 501 496 495 509 517 487 506 495 506 496 517 498 508
"50" 512 495 496 490 504 507 489 507 498 526 504 481 497 500 496 492 493 491 496 492
"51" 505 501 506 493 494 488 490 508 483 511 504 492 498 494 489 504 506 502 502 494
"52" 480 496 499 489 496 500 498 500 499 504 502 505 511 481 490 510 495 517 494 495
"53" 510 503 501 504 509 506 494 519 484 503 506 491 509 497 500 503 489 502 511 515
"54" 503 492 507 502 503 501 501 509 504 519 507 523 490 495 495 504 504 510 508 507
"55" 511 496 501 498 507 500 495 505 509 490 514 484 508 505 491 512 506 494 482 489
"56" 508 500 485 507 493 482 499 498 497 501 496 509 504 496 484 517 504 510 503 504
"57" 494 502 504 502 491 507 503 486 495 503 508 483 499 498 485 504 508 505 498 504
"58" 500 495 476 490 503 498 510 505 499 510 496 484 498 490 490 499 499 509 484 506
"59" 511 513 506 503 515 482 498 487 502 509 511 499 501 482 494 505 507 490 509 506
"60" 499 496 501 496 489 504 506 501 491 506 500 509 498 495 494 511 497 500 507 496
"61" 496 499 503 500 494 484 502 509 482 506 507 500 503 481 493 508 495 504 502 500
"62" 491 490 483 496 499 507 502 496 488 515 500 480 519 492 503 516 494 503 501 493
"63" 501 498 499 503 497 504 512 506 505 509 502 473 501 502 496 508 498 504 504 513
"64" 515 509 498 503 495 500 503 507 508 492 496 487 505 500 504 503 503 489 501 509
"65" 508 496 491 507 498 503 490 494 523 499 505 490 500 487 493 496 501 491 513 497
"66" 487 510 510 493 489 490 493 511 503 502 494 486 506 505 477 514 499 512 499 499
"67" 493 493 510 491 503 491 509 504 498 516 512 497 498 499 498 507 488 497 508 502
"68" 510 501 497 498 498 512 495 512 514 497 499 521 508 492 501 504 496 505 505 502
"69" 500 506 483 503 495 489 503 510 490 510 500 490 489 492 502 484 499 503 500 504
"70" 507 508 500 501 499 501 496 500 503 514 510 503 512 495 509 499 501 502 492 507
"71" 496 499 512 494 510 507 498 510 521 512 492 499 490 503 498 513 499 508 501 502
"72" 492 509 496 479 494 497 497 485 481 506 494 523 497 481 505 504 498 505 501 489
"73" 512 513 502 496 492 503 511 509 509 497 500 488 500 501 487 503 489 509 488 497
"74" 505 508 509 511 494 484 492 505 515 505 506 494 486 502 494 497 501 507 500 505
"75" 499 501 509 492 494 511 497 486 497 518 498 485 497 505 499 521 495 496 491 508
"76" 494 500 502 507 497 491 510 514 506 505 488 505 493 494 490 513 489 501 501 498
"77" 519 497 492 497 502 494 509 500 503 518 515 492 493 506 495 501 492 498 497 494
"78" 505 503 511 491 490 511 504 469 501 516 493 521 510 501 489 511 489 496 492 504
"79" 504 493 495 486 505 506 512 504 514 501 493 515 497 494 482 501 492 508 500 497
"80" 503 502 491 507 490 501 504 502 495 513 502 515 491 503 492 508 505 510 505 499
"81" 499 507 497 504 500 483 498 504 511 520 494 494 497 508 500 504 502 494 509 499
"82" 493 507 512 493 505 506 494 493 504 493 498 516 477 505 500 504 493 506 490 507
"83" 501 502 490 495 500 501 504 502 497 499 501 507 494 503 501 498 489 515 520 488
"84" 514 496 498 499 499 481 508 498 507 501 502 496 502 505 481 506 508 498 495 495
"85" 492 497 502 502 486 498 494 504 510 511 500 508 507 511 499 506 485 504 508 488
"86" 504 515 513 503 485 508 510 495 497 507 501 522 489 499 495 493 476 489 513 508
"87" 507 508 502 492 496 506 498 507 505 515 501 508 509 495 470 504 508 499 496 499
"88" 498 505 504 498 496 500 499 505 498 507 503 494 510 506 496 500 512 493 508 494
"89" 488 501 505 501 495 487 513 508 511 508 498 512 488 488 496 514 485 513 501 504
"90" 509 499 487 500 495 514 490 499 503 492 509 518 495 500 489 499 498 508 499 516
"91" 492 504 506 494 502 504 509 487 505 504 504 483 480 503 500 502 485 509 503 510
"92" 492 501 502 500 501 490 493 497 508 521 502 504 493 498 481 504 494 502 506 492
"93" 501 504 502 496 501 485 506 512 504 506 496 509 490 499 506 511 505 493 494 499
"94" 503 503 505 494 507 496 501 502 516 507 496 493 507 505 493 490 495 499 497 509
"95" 496 505 500 502 510 497 503 506 484 508 491 497 492 507 493 506 485 508 495 497
"96" 482 502 489 505 495 499 500 496 502 524 502 519 512 504 491 510 487 496 488 498
"97" 518 512 490 487 491 491 496 506 500 505 505 490 494 499 501 497 489 513 506 508
"98" 489 505 502 496 502 509 503 490 504 508 516 490 503 486 476 509 493 486 511 505
"99" 500 506 505 500 491 500 497 503 508 515 509 515 511 501 486 505 494 508 509 502
"100" 483 508 497 496 500 486 515 501 504 505 512 497 508 498 488 500 482 486 500 502
"101" 497 501 504 501 489 497 496 506 495 538 501 492 498 483 498 507 481 511 495 515
"102" 497 490 503 500 497 500 488 504 509 495 492 497 488 497 498 502 490 511 501 511
"103" 520 493 509 510 488 508 499 510 511 511 497 515 493 487 509 498 495 516 501 510
"104" 497 501 502 489 492 495 493 494 496 504 517 497 504 495 509 504 495 514 500 489
"105" 506 516 505 497 497 494 511 498 503 499 518 505 509 501 496 498 502 514 514 495
"106" 494 516 499 494 500 518 491 505 497 503 515 497 503 479 513 506 504 507 516 510
"107" 501 517 495 495 504 508 489 509 492 509 502 490 513 493 494 508 506 485 492 504
"108" 494 507 486 493 492 480 498 523 495 500 503 521 499 502 500 497 486 490 506 503
"109" 498 498 492 490 502 484 487 510 494 493 496 502 495 485 502 494 499 506 499 505
"110" 501 518 491 509 482 500 499 484 507 514 495 485 515 497 490 503 501 494 484 515
"111" 496 505 500 485 495 505 494 491 496 512 498 509 499 496 490 506 497 493 496 497
"112" 492 508 514 501 492 503 500 509 485 499 516 513 497 504 501 516 489 509 499 507
"113" 505 505 494 506 497 498 500 500 512 517 503 514 498 485 499 504 504 504 506 498
"114" 493 499 511 508 491 495 493 491 497 512 493 519 478 490 487 499 504 501 501 510
"115" 506 493 503 513 509 482 493 502 510 505 493 502 502 500 495 508 494 490 498 497
"116" 505 504 503 502 499 508 503 505 510 498 505 512 497 500 500 499 503 504 503 509
"117" 495 515 494 493 490 506 502 494 510 514 499 497 496 496 487 504 497 499 505 510
"118" 493 505 502 496 499 507 507 506 512 505 499 493 497 506 507 522 496 498 497 492
"119" 505 498 493 487 491 501 502 504 507 509 513 505 495 489 505 501 507 505 489 497
"120" 494 500 506 501 508 500 499 489 496 509 506 494 497 491 481 504 496 500 493 500
"121" 497 503 497 485 502 487 503 508 493 497 494 489 498 503 501 504 514 507 505 490
"122" 503 497 503 490 493 498 498 496 514 511 499 505 505 485 503 497 515 500 502 505
"123" 495 508 498 497 494 491 510 504 511 493 504 516 505 495 479 503 502 502 513 481
"124" 489 504 490 504 489 491 498 504 515 505 511 490 499 509 493 505 498 498 501 493
"125" 508 496 498 503 505 495 493 492 495 505 506 488 500 498 495 512 495 505 493 514
"126" 504 508 493 486 484 496 507 501 500 499 505 489 491 498 496 501 513 509 500 500
"127" 491 494 493 502 489 493 506 507 488 503 497 495 498 497 501 506 501 508 500 499
"128" 505 505 503 496 501 511 506 503 502 514 497 507 489 489 491 507 496 504 497 501
"129" 498 508 509 504 487 502 512 499 511 503 501 515 495 501 505 493 518 500 502 509
"130" 496 504 513 498 499 517 513 488 515 501 507 493 512 495 474 503 515 492 519 487
"131" 488 508 506 485 503 505 494 520 506 492 488 494 498 478 496 506 490 500 492 497
"132" 499 502 494 495 476 507 509 508 506 510 506 521 511 503 497 501 484 505 501 510
"133" 501 515 497 502 498 495 517 499 498 502 501 521 487 498 493 499 490 509 502 506
"134" 515 499 496 500 492 502 506 501 524 512 494 513 500 491 486 494 496 491 506 499
"135" 501 504 496 489 507 505 506 502 491 512 499 493 493 491 492 514 492 509 504 516
"136" 508 516 496 499 493 505 499 503 503 514 500 502 499 487 513 518 494 492 502 507
"137" 508 519 506 498 493 508 505 508 486 509 490 489 502 490 496 515 497 491 511 491
"138" 502 507 494 504 495 499 497 508 483 506 510 497 493 495 494 514 489 497 506 499
"139" 502 507 511 490 500 490 503 503 495 512 502 506 501 492 493 509 496 499 506 497
"140" 509 508 502 499 500 496 494 497 490 497 510 513 503 494 489 507 510 512 494 504
"141" 499 501 490 492 498 503 503 490 501 508 498 518 511 488 489 505 484 511 494 481
"142" 490 498 492 496 492 485 504 496 506 506 485 522 503 505 503 513 495 514 491 498
"143" 513 500 497 495 515 506 504 501 483 516 517 524 512 497 480 507 491 504 493 506
"144" 501 502 491 493 494 482 503 498 498 515 502 519 489 494 485 499 499 498 504 496
"145" 514 500 499 492 500 486 491 502 503 519 500 509 485 505 495 509 502 502 495 512
"146" 501 501 496 499 506 508 503 494 497 508 498 480 502 502 507 511 491 502 495 497
"147" 504 510 512 497 500 491 488 497 511 502 512 490 499 492 494 503 503 506 502 503
"148" 493 506 488 489 502 493 504 506 500 498 498 524 504 496 483 494 499 502 491 504
"149" 510 511 492 488 492 494 503 478 508 519 500 487 483 490 499 501 502 496 495 500
"150" 509 508 499 496 502 504 506 500 511 523 500 491 500 504 497 509 503 490 511 500
"151" 502 509 506 494 501 487 496 491 490 513 505 511 490 509 505 511 491 512 506 494
"152" 505 493 498 491 515 505 504 503 504 502 496 502 492 495 506 509 495 495 496 509
"153" 492 502 488 497 504 494 502 496 501 498 499 484 499 493 498 502 508 498 497 511
"154" 497 501 498 503 493 495 512 505 497 499 491 492 511 484 512 511 493 509 495 501
"155" 497 504 508 504 493 479 493 495 520 507 513 525 504 493 483 501 492 493 483 507
"156" 495 503 497 502 499 481 503 504 502 511 504 488 493 496 505 503 491 495 504 500
"157" 508 500 500 499 488 476 494 498 485 504 504 515 483 497 506 493 500 513 498 504
"158" 500 499 495 504 503 505 510 500 492 506 503 486 511 486 481 485 506 497 501 506
"159" 500 503 504 500 498 488 506 500 504 509 508 505 509 493 493 503 485 493 501 488
"160" 509 510 504 494 503 502 512 512 512 508 513 513 505 491 503 504 483 502 505 491
"161" 498 498 500 494 494 497 497 502 505 497 503 505 505 503 489 501 498 510 489 503
"162" 503 503 493 515 502 497 511 492 500 520 496 511 501 500 498 493 482 511 514 501
"163" 492 501 501 493 503 495 501 508 488 500 493 511 502 515 491 496 488 502 497 516
"164" 490 503 500 505 495 508 490 502 488 504 502 515 506 495 499 498 503 514 495 499
"165" 502 506 486 505 496 502 492 503 520 509 497 512 516 507 492 499 510 504 498 508
"166" 515 517 496 507 497 499 494 512 517 504 498 490 513 492 486 504 501 506 499 508
"167" 502 489 485 502 495 501 492 502 505 513 492 508 516 508 490 507 498 509 485 508
"168" 494 496 509 490 497 497 506 506 512 507 514 517 495 499 494 508 517 509 503 496
"169" 496 500 500 497 493 506 502 500 483 512 495 514 499 502 503 507 498 495 488 503
"170" 494 498 506 512 489 493 496 493 514 500 500 496 498 506 493 497 496 494 511 502
"171" 501 503 508 505 504 484 503 501 491 504 501 509 491 479 509 484 507 500 488 511
"172" 499 508 496 471 495 511 501 501 516 505 505 509 507 504 495 512 477 504 504 504
"173" 487 501 502 502 491 488 504 502 512 519 498 513 503 498 496 493 493 499 500 506
"174" 504 503 493 484 496 498 502 496 524 513 505 491 500 501 502 491 493 508 501 519
"175" 510 507 503 484 501 479 501 508 506 498 524 518 510 488 498 505 502 509 514 507
"176" 503 504 509 509 507 500 493 499 509 519 502 496 492 499 485 494 500 498 499 511
"177" 506 505 513 499 501 503 510 487 509 493 491 494 493 495 504 494 496 503 508 500
