"1" "2" "3" "4" "5" "6" "7" "8" "9" "10" "11" "12" "13" "14" "15" "16" "17" "18" "19" "20"
"1" 497 501 511 505 492 498 511 516 487 511 497 520 481 507 497 512 501 509 510 491
"2" 493 482 500 494 507 508 493 499 501 489 499 499 487 504 497 491 502 494 492 511
"3" 512 502 493 502 502 486 494 507 493 497 498 494 515 490 501 495 504 506 503 502
"4" 517 506 507 511 499 495 498 511 484 488 512 493 506 494 511 493 491 502 499 492
"5" 492 487 488 520 497 518 499 490 496 510 493 503 503 494 486 501 494 495 501 487
"6" 496 494 491 511 501 498 496 495 500 502 483 518 496 496 504 464 495 509 506 499
"7" 490 500 488 505 495 528 516 517 509 498 520 513 478 504 514 494 508 490 502 493
"8" 501 508 490 495 489 507 506 505 487 499 489 495 503 494 504 504 511 509 503 513
"9" 516 508 501 491 489 500 511 509 522 498 483 486 510 510 499 497 506 511 484 494
"10" 499 506 504 495 495 493 503 508 505 494 493 492 509 480 500 515 493 498 492 513
"11" 501 498 485 496 497 512 503 505 493 489 510 500 496 501 496 491 491 503 499 498
"12" 497 488 494 498 504 496 512 500 492 491 516 507 504 502 509 509 512 501 488 506
"13" 485 510 493 505 516 488 508 519 492 515 507 503 496 500 492 501 487 508 493 496
"14" 497 487 507 510 508 500 497 500 480 500 506 495 509 502 486 511 494 509 493 512
"15" 512 483 507 503 513 506 488 512 503 499 492 519 502 517 509 511 510 517 509 483
"16" 510 498 467 508 511 505 509 503 500 504 497 499 507 508 517 494 504 494 484 488
"17" 498 498 486 501 499 504 492 493 487 518 497 509 493 501 506 497 507 503 527 504
"18" 495 491 493 493 488 508 512 483 508 505 494 519 486 509 493 487 483 495 499 480
"19" 493 505 506 509 508 504 504 513 504 492 504 492 504 504 487 490 513 501 506 500
"20" 504 499 507 501 489 508 515 507 493 492 504 490 485 501 499 494 506 491 492 517
"21" 502 495 481 515 514 482 510 505 506 484 499 501 511 487 516 493 509 509 496 498
"22" 513 505 503 504 500 505 488 500 516 504 513 492 487 509 494 511 505 517 509 501
"23" 511 500 499 489 495 495 508 491 497 499 492 496 494 501 494 508 518 490 485 511
"24" 498 504 501 489 503 509 498 492 503 480 507 518 496 492 499 501 500 516 480 498
