"1" "2" "3" "4" "5" "6" "7" "8" "9" "10" "11" "12" "13" "14" "15" "16" "17" "18" "19" "20"
"1" 495 485 504 501 495 511 515 502 509 486 510 498 503 497 517 510 507 506 485 494
"2" 492 507 503 504 483 501 493 494 509 486 489 487 494 500 515 493 507 492 515 494
"3" 493 512 508 502 498 510 510 501 500 488 509 494 501 492 494 499 481 489 515 491
"4" 483 504 513 510 503 523 499 508 503 481 493 493 495 487 515 505 489 510 538 497
"5" 498 488 505 516 504 503 505 509 499 504 523 489 510 482 502 491 492 489 518 500
"6" 493 498 502 486 500 517 500 504 492 496 492 507 510 502 501 499 503 510 506 483
"7" 495 498 507 500 494 488 513 504 501 506 501 487 501 511 496 496 500 494 517 500
"8" 493 496 516 500 507 515 512 506 509 486 492 495 511 501 509 503 496 492 517 503
"9" 492 502 511 491 507 520 496 495 508 493 494 495 501 496 483 496 487 491 496 494
"10" 508 507 509 481 501 509 508 508 518 508 489 488 511 495 497 491 499 498 516 512
"11" 486 508 512 503 496 511 503 510 493 489 494 505 491 498 486 503 493 496 521 496
"12" 495 486 512 478 501 516 505 501 505 496 496 496 497 510 499 494 483 516 512 496
"13" 497 490 505 486 502 495 505 503 496 485 496 493 495 488 512 496 500 492 487 500
"14" 499 494 519 490 514 492 498 507 509 486 504 497 493 518 510 505 495 491 517 502
"15" 502 493 514 491 494 504 504 498 515 483 499 503 506 495 517 501 507 498 521 501
"16" 484 508 520 492 504 506 499 506 506 496 502 503 504 506 499 501 505 495 506 489
"17" 488 494 518 480 504 510 499 492 494 496 510 494 497 515 501 503 489 498 502 491
"18" 505 502 514 481 494 511 506 511 509 499 480 501 494 499 491 502 481 515 485 492
"19" 489 508 518 495 499 491 506 505 510 494 517 487 513 504 485 494 489 488 520 504
"20" 494 503 501 494 505 520 503 504 497 501 500 494 501 484 500 502 489 496 520 501
"21" 508 506 511 506 500 515 494 506 500 491 502 494 501 485 505 481 497 488 524 496
"22" 493 504 500 486 495 506 498 508 505 491 501 478 503 503 510 497 491 496 505 499
"23" 491 505 517 490 491 508 507 503 495 487 501 492 510 502 507 491 509 507 503 487
"24" 489 492 516 496 493 500 512 515 496 494 513 493 501 501 511 501 502 514 498 493
"25" 484 506 502 486 497 506 498 506 501 495 519 494 509 501 511 507 492 501 516 489
"26" 483 494 512 514 497 518 492 492 511 508 492 496 499 491 494 497 498 497 521 501
"27" 492 493 509 498 497 508 484 510 498 483 491 482 498 499 495 500 518 492 517 491
"28" 500 495 506 499 497 489 514 515 492 489 503 498 499 494 509 492 487 493 515 511
"29" 501 502 515 505 493 525 517 497 495 497 511 490 488 504 502 491 490 484 518 492
"30" 500 497 516 499 498 500 480 515 509 496 517 494 507 492 489 501 499 498 492 498
"31" 503 508 515 495 489 516 506 514 511 484 501 503 492 516 505 488 483 487 493 507
"32" 479 499 507 502 497 502 504 502 506 488 488 497 511 508 521 498 484 493 500 495
"33" 486 497 502 487 485 497 493 499 497 493 514 502 492 500 506 509 498 499 509 494
"34" 477 509 513 491 495 500 505 513 498 493 496 492 499 501 508 492 499 487 506 490
"35" 497 502 524 534 502 505 506 508 504 492 506 490 499 497 493 496 504 493 502 494
"36" 499 488 516 510 488 500 502 504 496 500 492 492 497 500 502 502 491 493 496 510
"37" 480 494 498 486 496 507 519 501 491 469 509 499 493 479 499 492 494 491 522 508
"38" 505 513 507 495 511 500 494 507 507 504 513 489 492 505 502 498 497 496 520 501
"39" 497 515 508 497 501 498 514 523 499 497 498 484 514 492 506 500 498 502 503 492
"40" 487 489 505 477 493 496 498 503 503 486 511 497 504 490 513 514 486 488 513 511
"41" 488 511 502 494 517 510 510 504 497 495 500 490 499 518 495 503 484 508 519 505
"42" 495 489 513 488 508 526 494 500 499 495 488 479 495 498 512 483 492 497 508 499
"43" 485 490 507 492 504 510 517 520 507 490 509 488 485 489 495 501 507 512 511 493
"44" 498 499 505 479 502 501 489 508 503 498 523 470 492 497 517 492 507 499 511 499
"45" 505 498 515 484 489 507 497 499 500 496 512 499 507 486 507 490 504 512 520 493
"46" 495 491 510 488 490 500 500 492 499 501 517 495 498 508 504 504 498 492 483 486
"47" 487 502 509 491 502 509 506 497 502 500 497 498 498 499 474 500 483 508 491 496
"48" 487 501 503 488 491 492 500 496 491 504 501 497 509 494 494 511 498 495 489 493
"49" 483 508 493 493 504 501 515 499 499 486 511 488 511 510 506 492 495 494 498 490
"50" 497 497 518 498 495 503 499 482 501 497 498 486 498 507 503 495 500 498 482 501
"51" 484 497 508 490 498 505 487 500 492 483 497 496 496 517 508 495 520 501 523 501
"52" 489 505 519 480 494 520 492 514 510 498 503 492 497 499 498 491 503 503 519 486
"53" 498 495 513 488 502 497 489 512 488 501 520 495 493 508 504 489 495 486 470 482
"54" 499 507 511 486 496 509 514 506 500 498 494 496 512 506 501 506 516 502 501 502
"55" 497 494 506 482 495 518 498 504 503 482 491 495 502 488 500 490 493 503 519 497
"56" 484 483 518 485 497 520 491 504 500 506 508 479 500 513 488 502 515 492 500 506
"57" 497 503 502 505 501 512 500 502 510 508 498 491 493 484 491 507 506 496 511 485
"58" 482 492 509 490 503 506 486 507 509 498 493 493 498 478 491 507 504 498 524 487
"59" 500 493 518 505 501 514 491 497 501 488 511 494 496 519 501 501 490 498 522 496
"60" 506 499 502 510 495 493 495 501 504 502 508 509 499 498 495 498 489 499 504 489
"61" 479 510 505 478 498 489 497 494 516 492 493 505 501 510 504 499 485 510 515 496
"62" 502 496 510 483 494 510 485 490 491 501 491 495 506 480 505 512 492 519 493 494
"63" 475 502 522 489 488 522 512 515 500 475 497 504 508 488 507 500 503 488 515 490
"64" 499 500 509 490 495 502 503 502 504 494 501 495 491 511 502 507 500 500 499 495
"65" 500 495 516 509 493 510 494 494 514 497 513 486 491 513 508 499 491 499 512 508
"66" 498 493 509 491 487 506 491 506 500 493 523 500 502 499 497 505 489 498 503 499
"67" 490 510 500 495 505 511 494 515 503 509 502 494 500 503 501 495 523 506 478 491
"68" 480 512 517 501 505 500 491 505 503 498 502 490 497 488 509 508 490 500 517 495
"69" 505 491 505 511 498 497 498 522 510 494 499 487 498 490 522 498 487 499 501 503
"70" 490 500 507 488 497 514 503 505 508 494 499 487 499 495 507 503 516 503 523 490
"71" 503 491 506 487 486 519 502 510 495 498 492 489 502 494 496 504 482 497 497 497
"72" 492 500 505 494 493 503 514 507 497 494 509 497 501 494 519 497 496 482 517 501
"73" 493 497 491 495 491 503 515 494 506 501 499 491 501 498 509 497 498 499 486 489
"74" 478 505 516 509 495 511 494 511 487 487 512 487 511 502 512 506 500 493 512 502
"75" 492 488 502 487 484 496 482 517 506 499 492 499 503 495 506 491 501 505 492 489
"76" 487 507 514 517 492 514 489 497 510 482 490 491 498 495 506 504 476 495 490 497
"77" 497 505 508 483 503 511 507 511 499 489 479 487 502 514 495 508 506 502 522 496
"78" 502 496 517 490 495 504 488 521 494 495 487 495 500 510 502 512 483 495 487 494
"79" 509 496 510 501 482 509 488 497 503 496 489 502 489 499 504 504 512 502 505 489
"80" 482 492 515 509 495 497 503 502 507 511 493 485 498 494 497 493 481 498 517 507
"81" 492 496 500 517 511 522 502 517 507 499 503 489 486 503 497 495 479 499 529 487
"82" 476 493 513 484 505 514 493 499 484 500 486 483 485 491 517 507 500 506 493 475
"83" 495 503 526 491 494 504 502 513 512 507 512 495 502 495 502 504 492 496 478 493
"84" 484 491 507 501 487 506 515 498 502 491 497 499 498 502 494 488 507 495 510 501
"85" 489 503 521 507 502 516 489 500 507 495 509 499 506 496 511 517 510 505 487 491
"86" 492 509 509 496 499 512 500 507 500 502 506 496 513 493 508 501 503 498 513 489
"87" 503 499 508 488 492 512 491 492 505 490 495 502 489 490 500 507 495 485 494 508
"88" 490 504 515 476 485 517 491 515 501 500 521 500 489 495 490 510 515 490 498 499
"89" 485 506 505 497 490 514 503 509 507 498 511 490 499 484 516 503 503 485 503 510
"90" 477 494 496 507 500 504 506 516 513 493 516 499 494 500 480 501 504 492 513 506
"91" 491 507 520 491 507 514 498 502 497 498 500 485 490 499 504 505 498 504 494 502
"92" 502 489 502 490 497 514 503 506 499 500 486 496 501 486 512 505 476 486 508 510
"93" 481 488 511 521 494 522 503 507 496 487 487 491 494 486 502 493 498 496 530 506
"94" 504 505 516 499 497 506 491 504 507 491 508 482 488 501 510 494 508 500 511 498
"95" 486 497 513 494 496 503 491 491 497 493 505 489 508 508 506 491 513 487 499 501
"96" 484 501 518 508 490 513 497 510 508 517 502 492 500 499 510 510 491 503 519 505
"97" 490 492 504 477 487 509 489 503 496 496 503 490 491 497 502 499 477 500 492 496
"98" 478 507 514 487 491 505 501 525 505 481 521 496 499 500 501 508 493 489 511 491
"99" 499 496 500 495 492 518 509 499 507 495 501 487 506 497 511 512 494 485 524 502
"100" 503 489 511 504 491 508 511 510 506 488 487 490 487 494 505 486 477 501 525 499
"101" 494 497 515 492 495 502 519 519 503 483 512 497 499 506 495 495 513 490 512 503
"102" 492 488 506 495 491 500 508 502 512 500 521 495 504 491 501 517 491 497 508 494
"103" 498 503 511 494 499 489 501 492 504 492 504 484 496 491 503 494 481 510 498 493
"104" 483 498 509 506 493 507 501 508 515 515 503 489 503 499 510 503 515 514 498 486
"105" 483 496 506 489 489 513 497 506 502 500 493 500 504 496 501 503 485 503 519 507
"106" 497 501 508 480 499 521 503 505 494 481 498 494 495 505 512 502 510 502 519 498
"107" 499 490 499 489 493 523 497 507 515 497 491 489 512 510 502 501 486 492 512 503
"108" 483 495 514 495 498 510 504 513 507 490 499 494 479 502 506 491 491 499 502 496
"109" 502 498 506 520 511 502 510 506 511 492 503 495 504 518 522 499 503 495 500 499
"110" 504 495 516 509 502 520 501 513 495 509 504 501 501 501 505 499 498 487 519 501
"111" 495 491 513 504 495 486 501 504 493 481 493 491 508 496 490 499 493 498 536 496
"112" 501 509 516 500 499 512 512 511 495 489 514 504 496 491 497 495 496 502 512 501
"113" 496 497 513 512 497 515 511 502 494 488 505 487 504 517 506 506 504 495 517 507
"114" 500 499 518 517 504 513 481 515 508 496 489 492 505 495 508 506 496 485 503 503
"115" 489 505 513 493 496 505 498 501 506 483 492 495 497 515 499 509 509 501 506 508
"116" 493 519 516 476 488 516 505 516 520 476 487 493 505 489 495 502 491 507 514 515
"117" 498 495 537 511 497 500 511 495 511 487 511 504 509 516 513 504 513 497 526 495
