"1" "2" "3" "4" "5" "6" "7" "8" "9" "10" "11" "12" "13" "14" "15" "16" "17" "18" "19" "20"
"1" 503 506 511 506 514 505 491 514 513 480 485 483 511 497 506 502 488 499 508 509
"2" 494 502 500 505 497 501 519 509 494 489 512 489 517 470 507 503 478 501 509 496
"3" 489 494 485 487 501 501 513 491 500 494 513 508 500 509 506 489 507 506 502 501
"4" 496 485 490 489 506 511 503 517 481 501 500 504 504 494 504 499 517 509 497 490
"5" 500 496 507 487 490 511 498 488 499 497 489 494 497 497 519 498 504 495 511 498
"6" 482 502 503 484 491 489 516 508 511 489 504 501 511 497 494 502 505 506 487 510
"7" 495 497 495 513 507 501 502 505 490 485 509 503 495 503 502 513 506 502 490 516
"8" 511 496 500 489 495 507 507 485 505 501 498 496 494 500 496 499 504 500 508 496
"9" 498 503 494 504 490 519 489 507 499 490 499 503 505 505 493 494 503 484 503 495
"10" 497 493 489 501 519 490 504 496 511 496 503 495 486 502 497 489 493 496 503 495
"11" 510 490 498 509 478 499 489 492 509 518 493 509 497 492 482 513 508 505 506 477
"12" 502 506 501 499 501 496 499 490 479 494 504 486 510 506 480 487 498 496 502 506
"13" 509 500 494 491 501 493 495 514 512 522 503 493 496 494 516 499 511 487 500 513
"14" 505 497 499 504 517 501 484 484 501 479 497 509 497 502 501 500 503 475 490 508
"15" 497 501 499 487 529 495 486 490 507 489 509 498 479 493 511 480 485 512 499 505
"16" 495 520 483 505 496 499 493 493 505 501 498 503 483 498 500 512 508 499 495 522
"17" 509 501 511 494 501 508 488 489 502 496 520 511 496 495 499 513 506 517 481 501
"18" 503 505 499 500 489 505 507 516 503 493 510 498 499 488 515 515 484 496 500 502
"19" 493 512 482 500 514 518 492 504 490 515 503 494 496 498 494 500 498 496 501 494
"20" 505 501 495 506 487 494 485 499 499 498 499 496 489 497 516 500 497 496 508 506
"21" 503 496 481 504 494 520 493 497 497 503 509 502 500 503 490 505 505 504 520 483
"22" 489 505 499 509 510 514 500 488 503 499 481 499 512 501 502 497 498 497 487 490
"23" 496 510 501 486 478 501 498 509 514 497 496 508 506 495 488 488 488 492 507 514
"24" 516 495 506 505 486 489 503 518 493 494 496 495 521 511 494 508 503 490 497 487
"25" 503 490 502 502 495 490 504 512 491 478 487 504 505 520 496 493 502 512 514 512
"26" 481 528 489 497 496 495 510 508 486 489 505 506 495 516 492 504 504 504 494 500
"27" 509 471 498 492 514 515 501 514 496 515 517 511 499 516 496 507 504 493 480 499
"28" 503 507 504 487 489 494 489 509 506 500 484 501 506 509 493 500 480 508 504 511
"29" 510 513 506 490 488 506 495 495 505 500 491 504 499 509 504 487 494 510 502 499
"30" 491 499 494 491 507 507 508 506 510 501 475 485 499 508 503 493 510 493 496 489
"31" 499 498 510 487 507 493 496 493 485 491 504 487 502 494 499 503 481 504 503 503
"32" 491 515 495 500 512 496 500 507 495 499 507 502 509 489 483 496 504 500 495 494
"33" 506 502 513 487 488 487 504 500 511 497 507 512 500 515 494 483 496 510 497 502
"34" 497 503 507 498 507 503 487 496 499 493 497 505 479 505 496 511 514 513 512 504
"35" 532 490 509 494 517 485 491 499 503 497 487 512 487 513 503 502 513 497 512 504
"36" 498 496 505 487 496 507 508 493 485 483 494 505 510 505 502 497 500 487 496 507
"37" 485 516 498 491 509 511 507 500 518 503 506 502 507 510 501 510 493 480 515 497
"38" 487 505 498 495 517 495 501 494 494 512 518 482 510 508 512 499 503 497 500 495
"39" 512 512 497 506 504 510 498 509 495 502 499 496 498 497 497 496 496 506 495 492
"40" 490 491 513 492 512 484 508 488 485 499 500 513 506 506 517 514 484 515 494 498
"41" 501 506 497 507 511 502 507 501 506 512 510 486 501 496 502 502 501 495 495 502
"42" 515 500 503 503 491 498 502 510 479 493 494 494 513 492 491 492 492 507 511 502
