"1" "2" "3" "4" "5" "6" "7" "8" "9" "10" "11" "12" "13" "14" "15" "16" "17" "18" "19" "20"
"1" 487 500 511 496 506 505 505 498 497 500 506 489 499 485 516 492 503 521 481 489
"2" 514 499 503 507 505 496 492 499 502 496 489 495 515 508 499 501 503 503 508 491
"3" 499 478 488 494 497 522 495 487 504 495 493 515 499 499 492 500 508 518 488 501
"4" 511 501 501 499 497 489 495 512 501 473 497 512 499 492 510 497 501 506 506 508
"5" 507 508 503 515 502 503 514 500 507 510 502 484 504 506 495 505 523 487 500 498
"6" 503 501 486 515 499 505 490 497 500 506 500 490 496 502 496 499 509 496 491 490
"7" 495 514 493 498 500 498 501 502 498 490 492 492 495 499 503 483 494 491 505 480
"8" 509 507 493 497 494 501 488 494 510 506 492 496 491 504 500 507 490 495 504 502
"9" 506 504 500 478 493 492 511 502 505 492 496 509 508 509 491 521 496 514 498 503
"10" 484 505 508 496 505 511 505 504 490 500 499 477 498 494 501 493 492 509 499 500
"11" 516 523 503 518 512 506 498 490 509 502 501 504 481 485 506 496 486 502 484 511
"12" 526 505 492 485 503 502 506 520 503 514 509 492 501 515 497 516 505 501 490 488
"13" 501 491 499 491 503 511 497 505 493 511 490 518 498 514 500 494 507 493 510 499
"14" 502 493 504 496 518 504 494 508 487 499 498 498 495 509 503 517 506 488 477 492
"15" 503 502 485 493 508 496 508 501 493 499 509 506 491 494 493 513 506 494 494 508
"16" 502 498 504 489 481 503 504 484 491 491 506 482 504 505 492 494 495 500 499 497
"17" 524 501 504 511 503 486 492 515 490 506 504 504 501 501 494 502 487 504 502 493
"18" 503 494 498 490 498 495 498 485 505 504 493 497 503 491 505 493 501 493 498 489
"19" 499 517 493 503 497 515 493 508 504 502 519 506 488 506 508 514 493 508 488 505
"20" 505 513 495 508 492 484 501 507 504 487 513 503 512 509 500 498 497 503 494 487
"21" 514 504 495 501 498 513 502 497 504 515 479 495 510 493 485 497 503 499 502 501
"22" 495 505 488 501 494 497 501 492 486 503 496 506 500 507 498 517 481 510 501 511
"23" 514 500 492 499 485 501 498 510 485 516 503 488 497 490 516 514 489 508 492 506
"24" 499 509 500 502 510 489 513 499 518 491 491 488 497 502 501 501 519 506 500 494
"25" 503 501 509 497 498 509 494 481 495 504 509 498 494 502 507 488 492 513 483 508
"26" 516 494 503 494 493 492 496 491 517 482 511 497 490 499 504 498 482 511 507 495
"27" 484 495 496 502 497 486 501 488 505 493 495 497 497 514 491 482 496 508 495 505
"28" 498 498 510 501 498 509 491 519 507 497 500 512 498 488 505 504 520 501 489 512
"29" 498 515 495 485 518 506 497 498 490 500 499 497 504 506 503 494 492 507 496 503
"30" 490 512 486 498 494 505 489 504 516 479 514 493 497 513 496 501 490 508 514 492
"31" 499 503 509 499 505 498 505 497 497 500 493 493 513 498 516 503 486 498 503 493
"32" 504 503 506 494 502 513 489 493 499 494 498 505 499 510 502 519 491 483 498 508
"33" 503 512 492 491 504 518 479 503 504 499 499 502 504 506 513 497 498 503 497 492
"34" 507 494 504 496 517 499 481 497 505 499 500 502 510 497 512 496 498 504 516 500
"35" 508 503 504 499 505 492 503 523 497 491 517 507 499 514 499 496 508 511 499 503
"36" 504 509 512 498 511 512 490 496 498 496 496 513 496 504 491 479 500 498 511 489
"37" 496 508 497 491 515 511 501 479 502 502 500 494 510 511 481 482 484 498 499 498
"38" 498 510 499 511 496 504 499 503 497 513 512 505 509 478 492 500 503 506 500 490
"39" 509 511 517 487 512 496 495 490 502 495 509 502 500 507 496 484 495 504 503 508
"40" 502 498 497 497 501 488 481 496 506 512 510 507 502 504 511 502 476 502 505 499
"41" 511 491 496 500 486 496 498 493 502 492 505 514 496 508 488 496 494 499 516 501
"42" 490 514 495 500 509 499 500 492 485 512 500 485 498 499 487 494 496 497 486 490
"43" 491 496 504 475 496 508 495 500 483 494 493 509 502 504 503 495 491 494 487 517
"44" 501 504 501 498 516 487 494 491 494 506 499 489 502 487 487 496 521 482 507 517
"45" 495 502 492 499 503 497 501 490 505 485 497 500 506 491 509 495 518 506 504 483
"46" 506 502 501 503 499 497 502 495 482 514 509 500 490 506 492 509 491 486 516 506
"47" 491 520 489 508 509 503 497 500 505 505 492 512 490 511 498 501 508 495 503 497
"48" 510 502 501 496 496 502 504 509 500 484 503 481 499 503 505 485 500 512 490 488
"49" 488 501 499 503 481 509 491 488 513 492 496 495 504 504 507 495 506 493 490 509
"50" 503 514 493 507 527 489 490 499 488 491 478 512 514 508 511 507 506 512 491 498
"51" 507 502 503 495 496 479 502 498 506 510 503 488 497 513 485 499 497 489 510 503
"52" 498 510 517 499 493 515 508 502 501 505 502 512 494 495 496 503 504 487 502 493
"53" 498 508 500 485 495 503 487 504 510 494 522 485 497 514 503 497 491 477 522 508
"54" 501 497 505 516 501 500 496 488 496 497 499 491 503 495 499 486 491 495 482 491
"55" 494 511 496 501 501 502 507 487 510 498 509 492 493 490 493 492 505 502 486 499
"56" 497 504 509 497 498 488 485 492 500 503 505 493 489 496 487 502 508 508 500 511
"57" 492 482 499 503 493 511 502 508 511 492 501 493 487 512 513 493 501 517 492 508
"58" 496 491 516 511 500 497 504 502 511 493 513 510 488 486 495 493 511 514 505 499
"59" 500 485 507 483 510 489 496 475 487 503 500 487 494 498 486 507 502 505 486 503
"60" 511 502 499 494 504 504 493 492 497 476 507 504 504 497 503 507 481 496 494 486
"61" 509 500 500 507 501 509 491 489 500 502 497 503 491 509 513 502 497 508 482 515
"62" 505 511 511 499 487 504 484 487 509 493 500 497 505 513 491 496 529 493 506 507
"63" 492 498 497 493 512 482 510 496 503 499 496 498 493 521 513 525 508 504 514 504
"64" 510 502 492 503 508 511 493 509 494 497 502 506 512 493 506 484 497 495 503 509
"65" 497 495 506 495 499 491 494 494 501 502 495 500 519 486 492 487 495 506 477 501
"66" 505 500 509 500 514 497 498 495 508 507 502 500 500 506 498 519 512 518 500 488
"67" 500 498 473 507 502 496 504 499 499 515 483 493 489 504 509 516 523 502 485 499
"68" 506 489 501 503 514 489 504 495 493 495 486 492 517 493 491 510 512 497 509 485
"69" 505 498 508 490 491 495 490 514 503 505 482 510 511 506 490 503 513 480 498 502
"70" 507 500 501 499 499 500 510 501 503 502 505 497 500 501 501 496 496 512 510 484
"71" 515 490 501 505 499 504 498 493 517 494 508 494 498 508 502 528 498 496 493 505
"72" 515 505 504 512 503 500 499 509 495 507 494 506 481 514 510 503 498 498 496 506
"73" 502 495 487 507 503 498 502 508 503 493 521 494 496 502 484 487 502 502 519 486
"74" 502 497 488 501 505 502 501 494 499 497 501 502 512 518 484 503 506 494 489 514
"75" 496 499 501 508 491 494 495 488 513 492 500 505 489 492 511 511 505 481 486 507
"76" 483 508 507 484 500 495 499 493 519 502 514 498 492 503 503 506 502 503 508 497
"77" 512 528 492 493 499 470 498 492 505 498 494 497 506 510 514 510 483 499 493 486
"78" 494 507 505 485 488 494 490 504 501 501 498 509 500 492 497 525 499 505 497 507
"79" 486 494 508 500 511 501 489 493 502 494 498 496 497 503 493 491 509 510 489 513
"80" 492 504 505 491 499 499 497 491 502 494 503 498 517 515 496 502 513 504 498 492
"81" 496 494 499 507 493 493 513 486 500 508 508 506 510 486 500 500 495 494 517 497
"82" 505 504 493 501 496 502 495 500 517 499 497 505 501 495 502 492 489 504 492 498
